,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15,attic
0,1,0.5,370,520,1.0,0.0,0.0,1,3,370,0.0,1900,0.0,399,651,0
1,11,8.0,13540,1651359,3.5,1.0,4.0,5,13,9410,4820.0,2015,2015.0,6210,871200,1
