,feature,coef,std err,t,P>|t|,[0.025,0.975]
93,zipcode_98199,339800.0,15200.0,22.375999999999998,0.0,310000.0,370000.0
94,view_1.0,91050.0,14900.0,6.121,0.0,61900.0,120000.0
95,view_2.0,74550.0,8789.279,8.482000000000001,0.0,57300.0,91800.0
96,view_3.0,165100.0,12100.0,13.698,0.0,141000.0,189000.0
97,view_4.0,484300.0,15200.0,31.803,0.0,454000.0,514000.0
98,yr_built_1905,67680.0,29700.0,2.275,0.023,9372.8,126000.0
99,yr_built_1906,75980.0,27700.0,2.7430000000000003,0.006,21700.0,130000.0
100,yr_built_1913,77900.0,33200.0,2.345,0.019,12800.0,143000.0
101,yr_built_1922,57830.0,26000.0,2.228,0.026000000000000002,6960.595,109000.0
102,yr_built_1925,73120.0,20500.0,3.565,0.0,32900.0,113000.0
103,yr_built_1936,73240.0,37200.0,1.9709999999999999,0.049,410.5,146000.0
104,yr_built_1945,63130.0,27100.0,2.327,0.02,9952.45,116000.0
105,yr_built_1955,-33870.0,16200.0,-2.0869999999999997,0.037000000000000005,-65700.0,-2053.86
106,yr_built_1979,-35880.0,13900.0,-2.585,0.01,-63100.0,-8676.07
107,yr_built_1986,-33800.0,18000.0,-1.8780000000000001,0.06,-69100.0,1472.0
108,yr_built_1990,-39160.0,14700.0,-2.659,0.008,-68000.0,-10300.0
109,yr_built_1991,-45840.0,17800.0,-2.5810000000000004,0.01,-80700.0,-11000.0
110,yr_built_2001,-30040.0,14900.0,-2.012,0.044000000000000004,-59300.0,-778.163
111,sqft_lot,366300.0,106000.0,3.468,0.001,159000.0,573000.0
112,sqft_above,1118000.0,43300.0,25.819000000000003,0.0,1030000.0,1200000.0
113,sqft_basement,455100.0,25200.0,18.061,0.0,406000.0,505000.0
114,sqft_living15,160200.0,27000.0,5.941,0.0,107000.0,213000.0
115,sqft_lot15,-159200.0,85500.0,-1.8619999999999999,0.063,-327000.0,8431.693000000001
